第3866章：望穿秋水: https://www.xbiquge.bz/book/48370/40729936.html
第3865章：批准: https://www.xbiquge.bz/book/48370/40729935.html
第3864章：爽快: https://www.xbiquge.bz/book/48370/40721218.html
第3863章：乡镇企业: https://www.xbiquge.bz/book/48370/40721217.html
第3862章：帮忙: https://www.xbiquge.bz/book/48370/40720861.html
第3861章：没有烦恼: https://www.xbiquge.bz/book/48370/40720860.html
第3860章：注意身体: https://www.xbiquge.bz/book/48370/40720552.html
第3859章：超前的名字: https://www.xbiquge.bz/book/48370/40720551.html
第3858章：送考: https://www.xbiquge.bz/book/48370/40720269.html
第3857章：夏天: https://www.xbiquge.bz/book/48370/40720268.html
第3856章：敲打: https://www.xbiquge.bz/book/48370/40719875.html
第3855章：检讨: https://www.xbiquge.bz/book/48370/40719874.html
第1章 打起来了: https://www.xbiquge.bz/book/48370/30152679.html
第2章 通货膨胀的工分: https://www.xbiquge.bz/book/48370/30152680.html
第3章 一群小人物: https://www.xbiquge.bz/book/48370/30152681.html
第4章 幽燕之地，龙盘虎踞: https://www.xbiquge.bz/book/48370/30152682.html
第5章 再坏还能够坏哪去: https://www.xbiquge.bz/book/48370/30152683.html
第6章 县玻璃厂: https://www.xbiquge.bz/book/48370/30152684.html
第7章 资金不足: https://www.xbiquge.bz/book/48370/30152685.html
第8章 峰回路转: https://www.xbiquge.bz/book/48370/30152686.html
第9章 搞定: https://www.xbiquge.bz/book/48370/30152687.html
第10章 春江水暖鸭先知: https://www.xbiquge.bz/book/48370/30152688.html
第11章 开工: https://www.xbiquge.bz/book/48370/30152689.html
第12章 五个销售组: https://www.xbiquge.bz/book/48370/30152690.html
第13章 姜小白的营销手段: https://www.xbiquge.bz/book/48370/30152691.html
第14章 惊人的利润: https://www.xbiquge.bz/book/48370/30152692.html
第15章 会计: https://www.xbiquge.bz/book/48370/30152693.html
第16章 狗蛋的口才: https://www.xbiquge.bz/book/48370/30152694.html
第17章 倔老头: https://www.xbiquge.bz/book/48370/30152695.html
第18章 投机倒把: https://www.xbiquge.bz/book/48370/30152697.html
第19章 震惊（打赏守护加更）: https://www.xbiquge.bz/book/48370/30152698.html
第20章 自行车: https://www.xbiquge.bz/book/48370/30152699.html
第21章 搬: https://www.xbiquge.bz/book/48370/30152700.html
第22章 建华村的人: https://www.xbiquge.bz/book/48370/30152701.html
第 23章 路塌了: https://www.xbiquge.bz/book/48370/30152702.html
第24章 吃肉喝酒的诱惑: https://www.xbiquge.bz/book/48370/30152703.html
第25章 委屈的狗蛋: https://www.xbiquge.bz/book/48370/30152704.html
第26章 10个名额: https://www.xbiquge.bz/book/48370/30152705.html
第27章 修路: https://www.xbiquge.bz/book/48370/30152706.html
第28章 发工钱: https://www.xbiquge.bz/book/48370/30152707.html
