新书《宰执北宋》: https://www.xbiquge.bz/book/5897/39577214.html
248章 不仁不义: https://www.xbiquge.bz/book/5897/39577213.html
219 人生若只如初见: https://www.xbiquge.bz/book/5897/39577212.html
新书《那孩子是奥术奇迹》: https://www.xbiquge.bz/book/5897/39577211.html
新书《今天就是末日》: https://www.xbiquge.bz/book/5897/39577210.html
新书《我真的是宰相儿子》: https://www.xbiquge.bz/book/5897/39577209.html
新书「带着系统回北宋」: https://www.xbiquge.bz/book/5897/39577208.html
新书发布！: https://www.xbiquge.bz/book/5897/37467522.html
关于新书《北宋最强大少爷》: https://www.xbiquge.bz/book/5897/36872688.html
再开单章: https://www.xbiquge.bz/book/5897/15789298.html
后言、完本那些事: https://www.xbiquge.bz/book/5897/15785059.html
终章 不如归去: https://www.xbiquge.bz/book/5897/15784694.html
第1章 花花太岁: https://www.xbiquge.bz/book/5897/3773417.html
第2章 衙内英明: https://www.xbiquge.bz/book/5897/3773419.html
第3章 我是纨绔我怕谁: https://www.xbiquge.bz/book/5897/3773421.html
第4章 路遇荒唐小娘子: https://www.xbiquge.bz/book/5897/3773422.html
第5章 抓住了一只小萝莉: https://www.xbiquge.bz/book/5897/3773423.html
第6章 大牢里的林冲: https://www.xbiquge.bz/book/5897/3773424.html
第7章 亲军营出事了: https://www.xbiquge.bz/book/5897/3773425.html
第8章 气死奸臣老爸: https://www.xbiquge.bz/book/5897/3773426.html
第9章 小萝莉来报案: https://www.xbiquge.bz/book/5897/3773427.html
第10章 李清照的回眸一望: https://www.xbiquge.bz/book/5897/3773428.html
第11章 第一桶金: https://www.xbiquge.bz/book/5897/3773431.html
第12章 快乐的小猪: https://www.xbiquge.bz/book/5897/3773434.html
第13章 我就一流氓: https://www.xbiquge.bz/book/5897/3773435.html
第14章 绝世名句: https://www.xbiquge.bz/book/5897/3773438.html
第15章 生于忧患: https://www.xbiquge.bz/book/5897/3773441.html
第16章 军人的信仰问题: https://www.xbiquge.bz/book/5897/3773443.html
第17章 第一篇策论: https://www.xbiquge.bz/book/5897/3773445.html
第18章 衙内神武: https://www.xbiquge.bz/book/5897/3773449.html
第19章 踢飞闹钟: https://www.xbiquge.bz/book/5897/3773451.html
第20章 蔡京: https://www.xbiquge.bz/book/5897/3773452.html
第21章 不知奸臣为何物: https://www.xbiquge.bz/book/5897/3773454.html
第22章 青面兽杨志: https://www.xbiquge.bz/book/5897/3773456.html
第23章 太夸张了: https://www.xbiquge.bz/book/5897/3773457.html
第24章 元芳你怎么看: https://www.xbiquge.bz/book/5897/3773459.html
第25章 相见不如怀念: https://www.xbiquge.bz/book/5897/3773461.html
第26章 出事了: https://www.xbiquge.bz/book/5897/3773463.html
第27章 险些被吓死: https://www.xbiquge.bz/book/5897/3773465.html
第28章 姑且信任你: https://www.xbiquge.bz/book/5897/3773467.html
第29章 当官了: https://www.xbiquge.bz/book/5897/3773469.html
第30章 不妙的感觉: https://www.xbiquge.bz/book/5897/3773471.html
第31章 这次怕是栽了: https://www.xbiquge.bz/book/5897/3773473.html
第32章 咱们成亲吧: https://www.xbiquge.bz/book/5897/3773476.html
第33章 降龙掌传说: https://www.xbiquge.bz/book/5897/3773478.html
第34章 关于脑壳中的YY: https://www.xbiquge.bz/book/5897/3773480.html
第35章 妾身不服: https://www.xbiquge.bz/book/5897/3773481.html
第36章 一个伟大的抢劫计划: https://www.xbiquge.bz/book/5897/3773485.html
第37章 忠君爱国: https://www.xbiquge.bz/book/5897/3773487.html
第38章 大奸臣术: https://www.xbiquge.bz/book/5897/3773489.html
第39章 富安栽了: https://www.xbiquge.bz/book/5897/3773490.html
第40章 祸国殃民的奸计: https://www.xbiquge.bz/book/5897/3773491.html
第41章 借厢军一用: https://www.xbiquge.bz/book/5897/3773492.html
第42章 出征大名府: https://www.xbiquge.bz/book/5897/3773493.html
第43章 金眼彪施恩: https://www.xbiquge.bz/book/5897/3773495.html
第44章 蒋门神: https://www.xbiquge.bz/book/5897/3773498.html
第45章 醉打蒋门神: https://www.xbiquge.bz/book/5897/3773499.html
第46章 殴打河阳县爷: https://www.xbiquge.bz/book/5897/3773501.html
第47章 武松凶猛: https://www.xbiquge.bz/book/5897/3773506.html
第48章 十字坡: https://www.xbiquge.bz/book/5897/3773507.html
第49章 当兵吃粮: https://www.xbiquge.bz/book/5897/3773509.html
第50章 二娘是个人才: https://www.xbiquge.bz/book/5897/3773512.html
第51章 别打脑壳打屁股: https://www.xbiquge.bz/book/5897/3773514.html
第52章 整个的卖给你算了: https://www.xbiquge.bz/book/5897/3773516.html
第53章 兀那小儿你待咋地: https://www.xbiquge.bz/book/5897/3773518.html
第54章 修身养性齐家治国，平天下: https://www.xbiquge.bz/book/5897/3773521.html
第55章 这下可坏了: https://www.xbiquge.bz/book/5897/3773522.html
第56章 官场黑阿啊: https://www.xbiquge.bz/book/5897/3773525.html
第57章 天王李成: https://www.xbiquge.bz/book/5897/3773526.html
第58章 青龙偃月刀: https://www.xbiquge.bz/book/5897/3773528.html
第59章 小咪咪你在哪: https://www.xbiquge.bz/book/5897/3773530.html
第60章 浪子燕青: https://www.xbiquge.bz/book/5897/3773532.html
第61章 梁中书: https://www.xbiquge.bz/book/5897/3773537.html
第62章 小咪咪你又跑哪了: https://www.xbiquge.bz/book/5897/3773539.html
第63章 梁太岁上街: https://www.xbiquge.bz/book/5897/3773541.html
第64章 拼命三郎石秀: https://www.xbiquge.bz/book/5897/3773543.html
第65章 你跳什么跳: https://www.xbiquge.bz/book/5897/3773546.html
第66章 大名县令老裴: https://www.xbiquge.bz/book/5897/3773547.html
第67章 差点出事: https://www.xbiquge.bz/book/5897/3773548.html
第68章 这小子怕是废了: https://www.xbiquge.bz/book/5897/3773550.html
第69章 不学无术的白痴: https://www.xbiquge.bz/book/5897/3773552.html
第70章 北门胡同大火: https://www.xbiquge.bz/book/5897/3773554.html
第71章 地痞红九爷: https://www.xbiquge.bz/book/5897/3773556.html
第72章 小子你瞅啥: https://www.xbiquge.bz/book/5897/3773557.html
第73章 又升官了哈: https://www.xbiquge.bz/book/5897/3773558.html
第74章 美女贾氏: https://www.xbiquge.bz/book/5897/3773560.html
第75章 永乐遇: https://www.xbiquge.bz/book/5897/3773562.html
第76章 吟得一手好湿: https://www.xbiquge.bz/book/5897/3773564.html
第77章 写信: https://www.xbiquge.bz/book/5897/3773565.html
第78章 国之重器: https://www.xbiquge.bz/book/5897/3773567.html
第79章 脑洞大开: https://www.xbiquge.bz/book/5897/3773569.html
第80章 大慈大悲和粗鲁: https://www.xbiquge.bz/book/5897/3773571.html
第81章 老天的设定: https://www.xbiquge.bz/book/5897/3773574.html
第82章 杨志归来: https://www.xbiquge.bz/book/5897/3773575.html
第83章 皇帝的命令: https://www.xbiquge.bz/book/5897/3773577.html
