第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第1章 我是吕布: https://www.xbiquge.bz/book/30892/19013919.html
第2章 李肃劝吕布: https://www.xbiquge.bz/book/30892/19013920.html
第3章 丁原还是死了: https://www.xbiquge.bz/book/30892/19013921.html
第4章 整军: https://www.xbiquge.bz/book/30892/19013922.html
第5章 马镫: https://www.xbiquge.bz/book/30892/19013923.html
第6章 十八路诸侯讨董: https://www.xbiquge.bz/book/30892/19013924.html
第7章 会诸侯: https://www.xbiquge.bz/book/30892/19013926.html
第8章 驰援孙坚: https://www.xbiquge.bz/book/30892/19013927.html
第9章 脚踹袁术: https://www.xbiquge.bz/book/30892/19013928.html
第10章 华雄又跑了: https://www.xbiquge.bz/book/30892/19013929.html
第11章 华雄夜袭（上）: https://www.xbiquge.bz/book/30892/19013930.html
第12章 华雄夜袭（中）: https://www.xbiquge.bz/book/30892/19013931.html
第13章 华雄夜袭（下）: https://www.xbiquge.bz/book/30892/19013932.html
第14章 谁敢与我一战: https://www.xbiquge.bz/book/30892/19013933.html
第15章 诸侯攻关: https://www.xbiquge.bz/book/30892/19013934.html
第16章 董卓要跑路: https://www.xbiquge.bz/book/30892/19013935.html
第17章 探雒阳，收李肃: https://www.xbiquge.bz/book/30892/19013936.html
第18章 会贾诩: https://www.xbiquge.bz/book/30892/19013937.html
第19章 秀儿？: https://www.xbiquge.bz/book/30892/19013938.html
第20章 贩马: https://www.xbiquge.bz/book/30892/19013939.html
第21章 救曹操追董卓: https://www.xbiquge.bz/book/30892/19013940.html
第22章 匿玉玺，孙坚回江东: https://www.xbiquge.bz/book/30892/19013941.html
第23章 收获很大: https://www.xbiquge.bz/book/30892/19013942.html
第24章 袁术追兵: https://www.xbiquge.bz/book/30892/19013943.html
第25章 破纪灵: https://www.xbiquge.bz/book/30892/19013944.html
第26章 破袁术擒纪灵: https://www.xbiquge.bz/book/30892/19013945.html
第27章 路遇典韦: https://www.xbiquge.bz/book/30892/19013946.html
第28章 壶关被阻: https://www.xbiquge.bz/book/30892/19013947.html
第29章 里应外合: https://www.xbiquge.bz/book/30892/19013948.html
第30章 张扬再出兵: https://www.xbiquge.bz/book/30892/19013949.html
第31章 交锋: https://www.xbiquge.bz/book/30892/19013950.html
第32章 夺晋阳: https://www.xbiquge.bz/book/30892/19013951.html
