第3421章: https://www.xbiquge.bz/book/6550/40730074.html
第3420章: https://www.xbiquge.bz/book/6550/40721219.html
第3419章: https://www.xbiquge.bz/book/6550/40720664.html
第3418章: https://www.xbiquge.bz/book/6550/40719993.html
第3417章: https://www.xbiquge.bz/book/6550/40719511.html
第3416章: https://www.xbiquge.bz/book/6550/40718770.html
第3415章: https://www.xbiquge.bz/book/6550/40716220.html
第3414章: https://www.xbiquge.bz/book/6550/40716219.html
第3413章: https://www.xbiquge.bz/book/6550/40715318.html
第3412章: https://www.xbiquge.bz/book/6550/40715030.html
第3411章: https://www.xbiquge.bz/book/6550/40714644.html
第3410章: https://www.xbiquge.bz/book/6550/40714643.html
1.第1章 那一扇上天打开的门: https://www.xbiquge.bz/book/6550/4280211.html
2.第2章 入伙: https://www.xbiquge.bz/book/6550/4280212.html
3.第3章 分工合作: https://www.xbiquge.bz/book/6550/4280214.html
4.第4章 新人的加入: https://www.xbiquge.bz/book/6550/4280216.html
5.第5章 筹备进行时（一）: https://www.xbiquge.bz/book/6550/4280218.html
6.第6章 筹备进行时（二）: https://www.xbiquge.bz/book/6550/4280219.html
7.第7章 筹备进行时（三）: https://www.xbiquge.bz/book/6550/4280221.html
8.第8章 筹备进行时（四）: https://www.xbiquge.bz/book/6550/4280223.html
9.第9章 筹备进行时（五）: https://www.xbiquge.bz/book/6550/4280224.html
10.第10章 穿越之前的最后准备: https://www.xbiquge.bz/book/6550/4280225.html
11.第11章 漫长的一天（一）: https://www.xbiquge.bz/book/6550/4280227.html
12.第12章 漫长的一天（二）: https://www.xbiquge.bz/book/6550/4280228.html
13.第13章 漫长的一天（三）: https://www.xbiquge.bz/book/6550/4280230.html
14.第14章 漫长的一天（四）: https://www.xbiquge.bz/book/6550/4280231.html
15.第15章 伙食问题: https://www.xbiquge.bz/book/6550/4280233.html
16.第16章 土著眼中的外来户: https://www.xbiquge.bz/book/6550/4280234.html
17.第17章 小渔村: https://www.xbiquge.bz/book/6550/4280235.html
18.第18章 遭遇战: https://www.xbiquge.bz/book/6550/4280237.html
19.第19章 失败的伏击: https://www.xbiquge.bz/book/6550/4280239.html
20.第20章 审讯: https://www.xbiquge.bz/book/6550/4280240.html
21.第21章 碰头会（一）: https://www.xbiquge.bz/book/6550/4280242.html
22.第22章 碰头会（二）: https://www.xbiquge.bz/book/6550/4280243.html
23.第23章 劳改营（一）: https://www.xbiquge.bz/book/6550/4280245.html
24.第24章 劳改营（二）: https://www.xbiquge.bz/book/6550/4280246.html
25.第25章 劳改营（三）: https://www.xbiquge.bz/book/6550/4280247.html
26.第26章 黎人（一）: https://www.xbiquge.bz/book/6550/4280248.html
27.第27章 黎人（二）: https://www.xbiquge.bz/book/6550/4280250.html
28.第28章 黎人（三）: https://www.xbiquge.bz/book/6550/4280251.html
29.第29章 劳务输出: https://www.xbiquge.bz/book/6550/4280253.html
30.第30章 向往: https://www.xbiquge.bz/book/6550/4280254.html
31.第31章 水电站开工: https://www.xbiquge.bz/book/6550/4280255.html
32.第32章 春种: https://www.xbiquge.bz/book/6550/4280257.html
33.第33章 北美帮: https://www.xbiquge.bz/book/6550/4280258.html
34.第34章 盐田（一）: https://www.xbiquge.bz/book/6550/4280260.html
35.第35章 盐田（二）: https://www.xbiquge.bz/book/6550/4280262.html
36.第36章 菜鸟: https://www.xbiquge.bz/book/6550/4280264.html
37.第37章 紧急情况: https://www.xbiquge.bz/book/6550/4280265.html
38.第38章 快速反应: https://www.xbiquge.bz/book/6550/4280267.html
39.第39章 港湾激战（一）: https://www.xbiquge.bz/book/6550/4280268.html
40.第40章 港湾激战（二）: https://www.xbiquge.bz/book/6550/4280270.html
41.第41章 打扫战场: https://www.xbiquge.bz/book/6550/4280272.html
42.第42章 围捕: https://www.xbiquge.bz/book/6550/4280273.html
43.第43章 不安分: https://www.xbiquge.bz/book/6550/4280275.html
44.第44章 谈条件（一）: https://www.xbiquge.bz/book/6550/4280276.html
45.第45章 谈条件（二）: https://www.xbiquge.bz/book/6550/4280278.html
46.第46章 达成合作: https://www.xbiquge.bz/book/6550/4280279.html
47.第47章 劳工等级制: https://www.xbiquge.bz/book/6550/4280281.html
48.第48章 人选: https://www.xbiquge.bz/book/6550/4280282.html
49.第49章 海汉: https://www.xbiquge.bz/book/6550/4280284.html
50.第50章 考察（一）: https://www.xbiquge.bz/book/6550/4280286.html
51.第51章 考察（二）: https://www.xbiquge.bz/book/6550/4280287.html
52.第52章 邀功请赏（一）: https://www.xbiquge.bz/book/6550/4280288.html
53.第53章 邀功请赏（二）: https://www.xbiquge.bz/book/6550/4280290.html
54.第54章 崖州城（一）: https://www.xbiquge.bz/book/6550/4280291.html
55.第55章 崖州城（二）: https://www.xbiquge.bz/book/6550/4280292.html
56.第56章 崖州城（三）: https://www.xbiquge.bz/book/6550/4280294.html
57.第57章 拖下水: https://www.xbiquge.bz/book/6550/4280295.html
58.第58章 考察汇报: https://www.xbiquge.bz/book/6550/4280297.html
59.第59章 组建公社: https://www.xbiquge.bz/book/6550/4280299.html
60.第60章 盐场公社: https://www.xbiquge.bz/book/6550/4280300.html
61.第61章 大步前进: https://www.xbiquge.bz/book/6550/4280302.html
62.第62章 火炮（一）: https://www.xbiquge.bz/book/6550/4280303.html
63.第63章 第六十三 火炮（二）: https://www.xbiquge.bz/book/6550/4280305.html
64.第64章 火炮（三）: https://www.xbiquge.bz/book/6550/4280306.html
65.第65章 火炮（四）: https://www.xbiquge.bz/book/6550/4280308.html
66.第66章 火炮（五）: https://www.xbiquge.bz/book/6550/4280310.html
67.第67章 试炮: https://www.xbiquge.bz/book/6550/4280311.html
68.第68章 高桥南: https://www.xbiquge.bz/book/6550/4280312.html
69.第69章 征兵: https://www.xbiquge.bz/book/6550/4280314.html
70.第70章 新兵（一）: https://www.xbiquge.bz/book/6550/4280315.html
71.第71章 新兵（二）: https://www.xbiquge.bz/book/6550/4280316.html
72.第72章 重访故地: https://www.xbiquge.bz/book/6550/4280318.html
73.第73章 辩论: https://www.xbiquge.bz/book/6550/4280320.html
74.第74章 收买: https://www.xbiquge.bz/book/6550/4280321.html
75.第75章 参观训练营: https://www.xbiquge.bz/book/6550/4280323.html
76.第76章 货比货: https://www.xbiquge.bz/book/6550/4280325.html
77.第77章 崖州工作组（一）: https://www.xbiquge.bz/book/6550/4280326.html
78.第78章 崖州工作组（二）: https://www.xbiquge.bz/book/6550/4280328.html
79.第79章 崖州工作组（三）: https://www.xbiquge.bz/book/6550/4280329.html
80.第80章 厂卫: https://www.xbiquge.bz/book/6550/4280330.html
81.第81章 未来形势: https://www.xbiquge.bz/book/6550/4280332.html
82.第82章 生活问题: https://www.xbiquge.bz/book/6550/4280333.html
83.第83章 欧战带来的商机: https://www.xbiquge.bz/book/6550/4280335.html
84.第84章 大生意小买卖: https://www.xbiquge.bz/book/6550/4280337.html
85.第85章 换装: https://www.xbiquge.bz/book/6550/4280338.html
86.第86章 何夕的本领（一）: https://www.xbiquge.bz/book/6550/4280339.html
87.第87章 何夕的本领（二）: https://www.xbiquge.bz/book/6550/4280342.html
88.第88章 仆役市场: https://www.xbiquge.bz/book/6550/4280344.html
89.第89章 购仆: https://www.xbiquge.bz/book/6550/4280345.html
90.第90章 锦衣卫（一）: https://www.xbiquge.bz/book/6550/4280347.html
91.第91章 锦衣卫（二）: https://www.xbiquge.bz/book/6550/4280349.html
92.第92章 移民: https://www.xbiquge.bz/book/6550/4280350.html
93.第93章 杀鸡儆猴: https://www.xbiquge.bz/book/6550/4280352.html
94.第94章 人口输入: https://www.xbiquge.bz/book/6550/4280353.html
95.第95章 货币（一）: https://www.xbiquge.bz/book/6550/4280354.html
96.第96章 货币（二）: https://www.xbiquge.bz/book/6550/4280356.html
97.第97章 自行车: https://www.xbiquge.bz/book/6550/4280357.html
