番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/23758/40728029.html
番外篇，下: https://www.xbiquge.bz/book/23758/40153821.html
番外篇，中: https://www.xbiquge.bz/book/23758/40153820.html
番外篇，上: https://www.xbiquge.bz/book/23758/40149433.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/23758/40141153.html
完结感言: https://www.xbiquge.bz/book/23758/39981316.html
第6012章 终: https://www.xbiquge.bz/book/23758/39981315.html
第6011章 布局万古终成空: https://www.xbiquge.bz/book/23758/39981314.html
第6010章 最后的决战: https://www.xbiquge.bz/book/23758/39981313.html
第6009章 偷天轮回阵: https://www.xbiquge.bz/book/23758/39981312.html
第6008章 获胜之法: https://www.xbiquge.bz/book/23758/39981311.html
第6007章 真祖尽陨，举世震惊: https://www.xbiquge.bz/book/23758/39981310.html
第1章 血脉重生: https://www.xbiquge.bz/book/23758/15030626.html
第2章 战龙真诀: https://www.xbiquge.bz/book/23758/15030627.html
第3章 凝炼真气: https://www.xbiquge.bz/book/23758/15030628.html
第4章 妖兽山脉: https://www.xbiquge.bz/book/23758/15030629.html
第5章 杀伐果决: https://www.xbiquge.bz/book/23758/15030630.html
第6章 发财了: https://www.xbiquge.bz/book/23758/15030631.html
第7章 进步神速: https://www.xbiquge.bz/book/23758/15030632.html
第8章 这太低级了: https://www.xbiquge.bz/book/23758/15030633.html
第9章 又见穆兰: https://www.xbiquge.bz/book/23758/15030634.html
第10章 打通两条神脉: https://www.xbiquge.bz/book/23758/15030635.html
第11章 通脉圆满: https://www.xbiquge.bz/book/23758/15030636.html
第12章 秋月的变化: https://www.xbiquge.bz/book/23758/15030637.html
第13章 怒火冲天: https://www.xbiquge.bz/book/23758/15030638.html
第14章 族会开始: https://www.xbiquge.bz/book/23758/15030639.html
第15章 再见陆瑶: https://www.xbiquge.bz/book/23758/15030640.html
第16章 烈焰焚身，我亦闲庭信步: https://www.xbiquge.bz/book/23758/15030641.html
第17章 那这样呢？: https://www.xbiquge.bz/book/23758/15030642.html
第18章 天才出世: https://www.xbiquge.bz/book/23758/15030643.html
第19章 你配吗: https://www.xbiquge.bz/book/23758/15030644.html
第20章 真相大白: https://www.xbiquge.bz/book/23758/15030645.html
第21章 玄元剑派再见: https://www.xbiquge.bz/book/23758/15030646.html
第22章 实力带来的变化: https://www.xbiquge.bz/book/23758/15030647.html
第23章 出发，男儿的梦: https://www.xbiquge.bz/book/23758/15030648.html
第24章 玄剑城，卫子明: https://www.xbiquge.bz/book/23758/15030649.html
第25章 刺杀，影狼阁: https://www.xbiquge.bz/book/23758/15030650.html
第26章 朱雀院: https://www.xbiquge.bz/book/23758/15030651.html
第27章 故意刁难: https://www.xbiquge.bz/book/23758/15030652.html
第28章 新人试炼: https://www.xbiquge.bz/book/23758/15030653.html
第29章 心动的奖励: https://www.xbiquge.bz/book/23758/15030654.html
第30章 风舞: https://www.xbiquge.bz/book/23758/15030655.html
第31章 围杀: https://www.xbiquge.bz/book/23758/15030656.html
第32章 血脉生长完全: https://www.xbiquge.bz/book/23758/15030657.html
第33章 逆天的血脉能力: https://www.xbiquge.bz/book/23758/15030658.html
