番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/53234/40728092.html
番外篇，下: https://www.xbiquge.bz/book/53234/40390285.html
番外篇，中: https://www.xbiquge.bz/book/53234/40390243.html
番外篇，上: https://www.xbiquge.bz/book/53234/40390242.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/53234/40390241.html
完结感言: https://www.xbiquge.bz/book/53234/40390240.html
第6012章 终: https://www.xbiquge.bz/book/53234/40390239.html
第6011章 布局万古终成空: https://www.xbiquge.bz/book/53234/40390238.html
第6010章 最后的决战: https://www.xbiquge.bz/book/53234/40390237.html
第6009章 偷天轮回阵: https://www.xbiquge.bz/book/53234/40390236.html
第6008章 获胜之法: https://www.xbiquge.bz/book/53234/40390235.html
第6007章 真祖尽陨，举世震惊: https://www.xbiquge.bz/book/53234/40390234.html
第1章 血脉重生: https://www.xbiquge.bz/book/53234/36792216.html
第2章 战龙真诀: https://www.xbiquge.bz/book/53234/36792217.html
第3章 凝炼真气: https://www.xbiquge.bz/book/53234/36792218.html
第4章 妖兽山脉: https://www.xbiquge.bz/book/53234/36792219.html
第5章 杀伐果决: https://www.xbiquge.bz/book/53234/36792220.html
第6章 发财了: https://www.xbiquge.bz/book/53234/36792221.html
第7章 进步神速: https://www.xbiquge.bz/book/53234/36792222.html
第8章 这太低级了: https://www.xbiquge.bz/book/53234/36792223.html
第9章 又见穆兰: https://www.xbiquge.bz/book/53234/36792224.html
第10章 打通两条神脉: https://www.xbiquge.bz/book/53234/36792225.html
第11章 通脉圆满: https://www.xbiquge.bz/book/53234/36792226.html
第12章 秋月的变化: https://www.xbiquge.bz/book/53234/36792227.html
第13章 怒火冲天: https://www.xbiquge.bz/book/53234/36792228.html
第14章 族会开始: https://www.xbiquge.bz/book/53234/36792229.html
第15章 再见陆瑶: https://www.xbiquge.bz/book/53234/36792230.html
第16章 烈焰焚身，我亦闲庭信步: https://www.xbiquge.bz/book/53234/36792231.html
第17章 那这样呢？: https://www.xbiquge.bz/book/53234/36792232.html
第18章 天才出世: https://www.xbiquge.bz/book/53234/36792233.html
第19章 你配吗: https://www.xbiquge.bz/book/53234/36792234.html
第20章 真相大白: https://www.xbiquge.bz/book/53234/36792235.html
第21章 玄元剑派再见: https://www.xbiquge.bz/book/53234/36792236.html
第22章 实力带来的变化: https://www.xbiquge.bz/book/53234/36792237.html
第23章 出发，男儿的梦: https://www.xbiquge.bz/book/53234/36792238.html
第24章 玄剑城，卫子明: https://www.xbiquge.bz/book/53234/36792239.html
第25章 刺杀，影狼阁: https://www.xbiquge.bz/book/53234/36792240.html
第26章 朱雀院: https://www.xbiquge.bz/book/53234/36792241.html
第27章 故意刁难: https://www.xbiquge.bz/book/53234/36792242.html
第28章 新人试炼: https://www.xbiquge.bz/book/53234/36792243.html
第29章 心动的奖励: https://www.xbiquge.bz/book/53234/36792244.html
第30章 风舞: https://www.xbiquge.bz/book/53234/36792245.html
第31章 围杀: https://www.xbiquge.bz/book/53234/36792246.html
第32章 血脉生长完全: https://www.xbiquge.bz/book/53234/36792247.html
第33章 逆天的血脉能力: https://www.xbiquge.bz/book/53234/36792248.html
第34章 连续突破，反杀: https://www.xbiquge.bz/book/53234/36792249.html
第35章 晋升三级血脉: https://www.xbiquge.bz/book/53234/36792250.html
第36章 救美: https://www.xbiquge.bz/book/53234/36792251.html
第37章 击杀袁冲: https://www.xbiquge.bz/book/53234/36792252.html
第38章 去收利息: https://www.xbiquge.bz/book/53234/36792253.html
第39章 闪电豹之血: https://www.xbiquge.bz/book/53234/36792254.html
第40章 朱雀院第一高手: https://www.xbiquge.bz/book/53234/36792255.html
第41章 战武师三重: https://www.xbiquge.bz/book/53234/36792256.html
第42章 变异黑甲巨蜥: https://www.xbiquge.bz/book/53234/36792257.html
第43章 出手抢夺: https://www.xbiquge.bz/book/53234/36792258.html
第44章 铁牌到手: https://www.xbiquge.bz/book/53234/36792259.html
第45章 击杀端木绝: https://www.xbiquge.bz/book/53234/36792260.html
第46章 谁是新人王？: https://www.xbiquge.bz/book/53234/36792261.html
第47章 清点积分: https://www.xbiquge.bz/book/53234/36792262.html
第48章 步步紧逼的端木家: https://www.xbiquge.bz/book/53234/36792263.html
