致尊敬的读者: https://www.xbiquge.bz/book/7694/40719809.html
第432章 手术也是一种治疗手段【求月票】: https://www.xbiquge.bz/book/7694/40719808.html
第429章 顺其自然【告急，苦求月票】: https://www.xbiquge.bz/book/7694/40719807.html
第428章 重新介绍【哀求月票】: https://www.xbiquge.bz/book/7694/40719806.html
第427章 回家【泪求月票】: https://www.xbiquge.bz/book/7694/40719805.html
第423章 相拥相吻【求月票】: https://www.xbiquge.bz/book/7694/40719804.html
第418章 天材地宝【月票告急，呼唤强力支援】: https://www.xbiquge.bz/book/7694/40719803.html
第415章 再流氓我也会做【乞求月票】: https://www.xbiquge.bz/book/7694/40719802.html
第401章 破冰之始【端午节快乐^】: https://www.xbiquge.bz/book/7694/40719801.html
第396章 杀猪宝刀【求月票】: https://www.xbiquge.bz/book/7694/40719800.html
第391章 有鱼鳍的少女【急求月票】: https://www.xbiquge.bz/book/7694/40719799.html
第389章 她是我的表姐【召唤月票】: https://www.xbiquge.bz/book/7694/40719798.html
上架感言: https://www.xbiquge.bz/book/7694/5133336.html
强烈推荐8难新书《星月幻界》: https://www.xbiquge.bz/book/7694/5133337.html
祝愿人人平安: https://www.xbiquge.bz/book/7694/5133338.html
推荐科幻类新书《星际之亡灵帝国》: https://www.xbiquge.bz/book/7694/5133339.html
起点各种票的功能和使用方法: https://www.xbiquge.bz/book/7694/5133340.html
推荐《异界修道》书号：1037138: https://www.xbiquge.bz/book/7694/5133341.html
新书《异世之王者无双》已发布！: https://www.xbiquge.bz/book/7694/5133342.html
新书《降临异世》: https://www.xbiquge.bz/book/7694/5133343.html
新书《炼金狂潮》已发: https://www.xbiquge.bz/book/7694/5133344.html
除夕之夜: https://www.xbiquge.bz/book/7694/5133345.html
第1章 救美而亡: https://www.xbiquge.bz/book/7694/5133346.html
第2章 我成了鬼吗？: https://www.xbiquge.bz/book/7694/5133347.html
第3章 借尸还魂: https://www.xbiquge.bz/book/7694/5133348.html
第4章 还魂成功，计算机大脑: https://www.xbiquge.bz/book/7694/5133349.html
第5章 被“小猫”追杀: https://www.xbiquge.bz/book/7694/5133350.html
第6章 与猫对持: https://www.xbiquge.bz/book/7694/5133351.html
第7章 准备离开: https://www.xbiquge.bz/book/7694/5133352.html
第8章 G级佣兵: https://www.xbiquge.bz/book/7694/5133353.html
第9章 首次佣兵任务: https://www.xbiquge.bz/book/7694/5133354.html
第10章 到达皇城: https://www.xbiquge.bz/book/7694/5133355.html
第11章 回家，刑场？？: https://www.xbiquge.bz/book/7694/5133356.html
第12章 刑场团聚: https://www.xbiquge.bz/book/7694/5133357.html
第13章 我就是龙天: https://www.xbiquge.bz/book/7694/5133358.html
第14章 我来处置公主: https://www.xbiquge.bz/book/7694/5133359.html
第15章 雪情痴呆？: https://www.xbiquge.bz/book/7694/5133360.html
第16章 悠闲的早晨: https://www.xbiquge.bz/book/7694/5133361.html
第17章 要钱买武器: https://www.xbiquge.bz/book/7694/5133362.html
第18章 矮人洛克: https://www.xbiquge.bz/book/7694/5133363.html
第19章 准备炼钢: https://www.xbiquge.bz/book/7694/5133364.html
第20章 买下黑石山: https://www.xbiquge.bz/book/7694/5133365.html
第21章 魔法造炉: https://www.xbiquge.bz/book/7694/5133366.html
第22章 失踪风波: https://www.xbiquge.bz/book/7694/5133367.html
第23章 我要打造空前的兵器: https://www.xbiquge.bz/book/7694/5133368.html
第24章 奴隶交易市场: https://www.xbiquge.bz/book/7694/5133369.html
第25章 奴隶将军: https://www.xbiquge.bz/book/7694/5133370.html
第26章 拍卖精灵: https://www.xbiquge.bz/book/7694/5133371.html
第27章 吹雪的价值？: https://www.xbiquge.bz/book/7694/5133372.html
第28章 吹雪是神器: https://www.xbiquge.bz/book/7694/5133373.html
第29章 收购风波: https://www.xbiquge.bz/book/7694/5133374.html
第30章 神器余波: https://www.xbiquge.bz/book/7694/5133375.html
第31章 剑就是要随身: https://www.xbiquge.bz/book/7694/5133376.html
第32章 军队废兵器: https://www.xbiquge.bz/book/7694/5133377.html
第33章 解除契约: https://www.xbiquge.bz/book/7694/5133378.html
第34章 酒醉的精灵: https://www.xbiquge.bz/book/7694/5133379.html
第35章 红袖添香: https://www.xbiquge.bz/book/7694/5133380.html
第36章 雪情开口: https://www.xbiquge.bz/book/7694/5133381.html
第37章 剑士？魔法？？: https://www.xbiquge.bz/book/7694/5133382.html
第38章 异世女歌星: https://www.xbiquge.bz/book/7694/5133383.html
第39章 爷孙比剑: https://www.xbiquge.bz/book/7694/5133384.html
第40章 战斗升级: https://www.xbiquge.bz/book/7694/5133385.html
第41章 剑神出世: https://www.xbiquge.bz/book/7694/5133386.html
第42章 精灵语: https://www.xbiquge.bz/book/7694/5133387.html
第43章 校园行: https://www.xbiquge.bz/book/7694/5133388.html
第44章 决斗？？: https://www.xbiquge.bz/book/7694/5133389.html
第45章 纯真的乐琳: https://www.xbiquge.bz/book/7694/5133390.html
第46章 精灵语: https://www.xbiquge.bz/book/7694/5133391.html
第47章 重建龙家: https://www.xbiquge.bz/book/7694/5133392.html
第48章 人形打印机: https://www.xbiquge.bz/book/7694/5133393.html
