第10章: https://www.xbiquge.bz/book/52702/40730022.html
第9章 一切都可以被牺牲: https://www.xbiquge.bz/book/52702/40724533.html
第8章 询问: https://www.xbiquge.bz/book/52702/40724532.html
第7章 意外消息: https://www.xbiquge.bz/book/52702/40724530.html
第6章 改变主意: https://www.xbiquge.bz/book/52702/40724529.html
第5章 角斗场: https://www.xbiquge.bz/book/52702/40724528.html
第4章 受挫: https://www.xbiquge.bz/book/52702/40724526.html
第3章 忍无可忍，无需再忍: https://www.xbiquge.bz/book/52702/40724525.html
第2章 汽车人嘴炮王: https://www.xbiquge.bz/book/52702/40724524.html
第1章 传送: https://www.xbiquge.bz/book/52702/40724523.html
第一百零三章 神器升阶: https://www.xbiquge.bz/book/52702/40724521.html
第一百零二章 威逼+利诱: https://www.xbiquge.bz/book/52702/40724520.html
序 枯夏: https://www.xbiquge.bz/book/52702/35568907.html
第一章 人间恶: https://www.xbiquge.bz/book/52702/35568909.html
第二章 那一撞的风情: https://www.xbiquge.bz/book/52702/35568910.html
第三章 变数: https://www.xbiquge.bz/book/52702/35568911.html
第四章 迟到总比不到好: https://www.xbiquge.bz/book/52702/35568912.html
第五章 尔虞我诈: https://www.xbiquge.bz/book/52702/35568913.html
第六章 懊恼: https://www.xbiquge.bz/book/52702/35568914.html
第七章: https://www.xbiquge.bz/book/52702/35568915.html
第八章 购药: https://www.xbiquge.bz/book/52702/35568916.html
第九章 獠牙，你要死了啊！（为盟主洪荒未名加更）: https://www.xbiquge.bz/book/52702/35568917.html
第十章 巫毒娃娃（为盟主我为滴仙人加更）: https://www.xbiquge.bz/book/52702/35568918.html
第十一章 遥远的杀机（为盟主特别记录加更）: https://www.xbiquge.bz/book/52702/35568919.html
第十二章 丧尸！（为盟主ZH222加更）: https://www.xbiquge.bz/book/52702/35568920.html
第十三章 清除者计划启动！（为盟主折攘加更）: https://www.xbiquge.bz/book/52702/35568921.html
第十四章 恐怖的生体兵器（为盟主横扫天涯加更）: https://www.xbiquge.bz/book/52702/35568922.html
第十五章 獠牙的头飞了起来！: https://www.xbiquge.bz/book/52702/35568923.html
第十六章 筹划: https://www.xbiquge.bz/book/52702/35568924.html
第十七章 三个计划（为盟主幸运的运气加更）: https://www.xbiquge.bz/book/52702/35568925.html
第十八章 血腥钥匙（为盟主薄凉加更）: https://www.xbiquge.bz/book/52702/35568926.html
第一章 又见短信 （为盟主我不是牛凳加更）: https://www.xbiquge.bz/book/52702/35568928.html
第二章 再次迟到.....（为盟主头日天加更）: https://www.xbiquge.bz/book/52702/35568929.html
第三章 降临模式！（为盟主发飙的小沐沐加更）: https://www.xbiquge.bz/book/52702/35568930.html
第四章 抽取（为盟主愉悦犯加更）: https://www.xbiquge.bz/book/52702/35568931.html
第五章 巫毒娃娃（为盟主公元1加更）: https://www.xbiquge.bz/book/52702/35568932.html
第六章 制作成功: https://www.xbiquge.bz/book/52702/35568933.html
第七章 血蜘蛛的威力（为盟主newpaker加更）: https://www.xbiquge.bz/book/52702/35568934.html
第八章 数据化: https://www.xbiquge.bz/book/52702/35568935.html
第九章 里程碑（为盟主守护FREE加更）: https://www.xbiquge.bz/book/52702/35568936.html
第十章 隐藏起来的PVP信息！: https://www.xbiquge.bz/book/52702/35568937.html
第十一章 心机斗心机: https://www.xbiquge.bz/book/52702/35568938.html
第十二章 四连射（为盟主笨象加更）: https://www.xbiquge.bz/book/52702/35568939.html
第十三章 被美色所迷惑: https://www.xbiquge.bz/book/52702/35568940.html
第十四章 子弹时间: https://www.xbiquge.bz/book/52702/35568941.html
第十五章 血腥卷轴: https://www.xbiquge.bz/book/52702/35568942.html
第十六章 机械之美: https://www.xbiquge.bz/book/52702/35568943.html
哎！我怀疑我的手出了大问题......: https://www.xbiquge.bz/book/52702/35568944.html
第十七章 逆转历史: https://www.xbiquge.bz/book/52702/35568945.html
第十八章 备用计划: https://www.xbiquge.bz/book/52702/35568946.html
第十九章 一把抓住了敌人的......: https://www.xbiquge.bz/book/52702/35568947.html
第二十章 自动跳出来！: https://www.xbiquge.bz/book/52702/35568948.html
第二十一章 任务难度提升！: https://www.xbiquge.bz/book/52702/35568949.html
第二十二章 扣除30%的完成度.....: https://www.xbiquge.bz/book/52702/35568950.html
第二十三章 激烈喷射: https://www.xbiquge.bz/book/52702/35568951.html
第二十四章 降落: https://www.xbiquge.bz/book/52702/35568952.html
第二十五章 最后的......真相（为白银盟主不悔的悲伤加更）: https://www.xbiquge.bz/book/52702/35568953.html
第二十六章 獠牙真正的动机！: https://www.xbiquge.bz/book/52702/35568954.html
第二十七章 脱离: https://www.xbiquge.bz/book/52702/35568956.html
第二十八章 无限印记（为盟主疯不觉不觉疯加更）: https://www.xbiquge.bz/book/52702/35568957.html
第二十九章 徐叔......: https://www.xbiquge.bz/book/52702/35568958.html
第三十章 再见小丽菇凉: https://www.xbiquge.bz/book/52702/35568959.html
第三十一章 凯斯咖啡馆的.......真相！: https://www.xbiquge.bz/book/52702/35568960.html
第三十二章 獠牙余波: https://www.xbiquge.bz/book/52702/35568961.html
第三十三章 邪禅！（为盟主Alos_Yui加更）: https://www.xbiquge.bz/book/52702/35568962.html
第三十四章 短信再至: https://www.xbiquge.bz/book/52702/35568963.html
第三十五章 阴差阳错: https://www.xbiquge.bz/book/52702/35568964.html
写在本卷末尾的话........: https://www.xbiquge.bz/book/52702/35568965.html
第一章 推定: https://www.xbiquge.bz/book/52702/35568967.html
第二章 漏算？: https://www.xbiquge.bz/book/52702/35568968.html
第三章 抓到你了: https://www.xbiquge.bz/book/52702/35568969.html
第四章 诡奇的进入方式: https://www.xbiquge.bz/book/52702/35568970.html
第五章 横卧的女人: https://www.xbiquge.bz/book/52702/35568971.html
第六章 数据化: https://www.xbiquge.bz/book/52702/35568972.html
第七章 正式开启（为我是克雷斯波盟主加更）: https://www.xbiquge.bz/book/52702/35568973.html
第八章 开局的陷阱: https://www.xbiquge.bz/book/52702/35568974.html
第九章 称号的巧妙用法: https://www.xbiquge.bz/book/52702/35568975.html
第十章 双杀: https://www.xbiquge.bz/book/52702/35568976.html
第十一章 武器入手: https://www.xbiquge.bz/book/52702/35568977.html
第十二章 开箱: https://www.xbiquge.bz/book/52702/35568978.html
第十三章 入城: https://www.xbiquge.bz/book/52702/35568979.html
第十四章 里程碑（为盟主墓碑加更）: https://www.xbiquge.bz/book/52702/35568980.html
第十五章 坑中坑: https://www.xbiquge.bz/book/52702/35568981.html
第十六章 三种构件: https://www.xbiquge.bz/book/52702/35568982.html
第十七章 一次性称号: https://www.xbiquge.bz/book/52702/35568983.html
第十八章 诱饵！: https://www.xbiquge.bz/book/52702/35568984.html
第十九章 抱大腿: https://www.xbiquge.bz/book/52702/35568985.html
第二十章 难题: https://www.xbiquge.bz/book/52702/35568986.html
第二十一章 子弹=奖金: https://www.xbiquge.bz/book/52702/35568987.html
第二十二章 惊叹与惊喜: https://www.xbiquge.bz/book/52702/35568988.html
第二十三章 满意度110%！: https://www.xbiquge.bz/book/52702/35568989.html
第二十四章 兑换: https://www.xbiquge.bz/book/52702/35568990.html
第二十五章 州长之咆哮: https://www.xbiquge.bz/book/52702/35568991.html
第二十六章 初见试炼者: https://www.xbiquge.bz/book/52702/35568992.html
第二十七章 突如其来的盘问: https://www.xbiquge.bz/book/52702/35568993.html
第二十八章 隐秘任务: https://www.xbiquge.bz/book/52702/35568994.html
第二十八章 变数（感谢盟主爱潜水的乌贼的支持）: https://www.xbiquge.bz/book/52702/35568995.html
第二十九章 泰坦巨蟒: https://www.xbiquge.bz/book/52702/35568996.html
第三十章 擒杀: https://www.xbiquge.bz/book/52702/35568997.html
第三十一章 血兰: https://www.xbiquge.bz/book/52702/35568998.html
第三十二章 人心: https://www.xbiquge.bz/book/52702/35568999.html
第三十三章 压制: https://www.xbiquge.bz/book/52702/35569000.html
第三十四章 计中计: https://www.xbiquge.bz/book/52702/35569001.html
第三十五章 人性: https://www.xbiquge.bz/book/52702/35569002.html
第三十六章 我说！: https://www.xbiquge.bz/book/52702/35569003.html
第三十七章 逃走: https://www.xbiquge.bz/book/52702/35569004.html
第三十八章 称号当中隐藏的大坑: https://www.xbiquge.bz/book/52702/35569005.html
第三十九章 被谜之气息支配的恐怖: https://www.xbiquge.bz/book/52702/35569006.html
第四十章 第二阶段: https://www.xbiquge.bz/book/52702/35569007.html
第四十一章 商议兑换: https://www.xbiquge.bz/book/52702/35569008.html
第四十二章 暗流涌动: https://www.xbiquge.bz/book/52702/35569009.html
第四十三章 完成主线: https://www.xbiquge.bz/book/52702/35569010.html
几句很想说的话+爆发预告......: https://www.xbiquge.bz/book/52702/35569011.html
第四十四章 警告（求首订求月票）: https://www.xbiquge.bz/book/52702/35569012.html
第四十五章 误入（感谢盟主土魁瓜的支持）: https://www.xbiquge.bz/book/52702/35569013.html
第四十六章 招揽（感谢Wayne0685盟主的支持）: https://www.xbiquge.bz/book/52702/35569014.html
第四十七章 一发入魂！（感谢13syzpld盟主的支持）: https://www.xbiquge.bz/book/52702/35569015.html
第四十八章 游说（感谢盟主飞天鱼日龙的支持）: https://www.xbiquge.bz/book/52702/35569016.html
第四十九章 纠纷（感谢隔壁酱油叔的支持）: https://www.xbiquge.bz/book/52702/35569017.html
第五十章 博弈（感谢盟主白色的豆腐的支持）: https://www.xbiquge.bz/book/52702/35569018.html
第五十一章 被坑？（感谢盟主猫腻的夜晚的支持）: https://www.xbiquge.bz/book/52702/35569019.html
第五十二章 展示肌肉（感谢新手村村长泰帕尔的支持）: https://www.xbiquge.bz/book/52702/35569020.html
