新书《诸天之百味人生》已发布，求兄弟们推荐、收藏。: https://www.xbiquge.bz/book/35068/40706432.html
完本感言: https://www.xbiquge.bz/book/35068/40706431.html
第一千五百八十五章 位面吞噬，人人如龙（终章）: https://www.xbiquge.bz/book/35068/40706430.html
第一千五百八十四章 杀鸿钧如杀鸡: https://www.xbiquge.bz/book/35068/40706429.html
第一千五百八十三章 无敌: https://www.xbiquge.bz/book/35068/40706428.html
第一千五百八十二章 ‘终’见鸿钧: https://www.xbiquge.bz/book/35068/40706427.html
第一千五百八十一章 无耻准提: https://www.xbiquge.bz/book/35068/40706426.html
第一千五百八十章 算计太清圣人: https://www.xbiquge.bz/book/35068/40706425.html
第一千五百七十九章 压着圣人打: https://www.xbiquge.bz/book/35068/40706424.html
第一千五百七十八章 约斗圣人: https://www.xbiquge.bz/book/35068/40706423.html
第一千五百七十七章 作死的人王: https://www.xbiquge.bz/book/35068/40706422.html
第一千五百七十六章 咒天子以钓大鱼！: https://www.xbiquge.bz/book/35068/40706421.html
第一章 穿越伊始: https://www.xbiquge.bz/book/35068/21468647.html
第二章 竟然是个妞！: https://www.xbiquge.bz/book/35068/21468648.html
第三章 树妖姥姥？: https://www.xbiquge.bz/book/35068/21468649.html
第四章 自己打自己: https://www.xbiquge.bz/book/35068/21468650.html
第五章 那就试点狠的！: https://www.xbiquge.bz/book/35068/21468651.html
第六章 是我小看他了: https://www.xbiquge.bz/book/35068/21468652.html
第七章 不行就让他办吧！: https://www.xbiquge.bz/book/35068/21468653.html
第八章 左青龙，右白虎，中间一个米老鼠: https://www.xbiquge.bz/book/35068/21468655.html
第九章 追逐风和闪电的力量: https://www.xbiquge.bz/book/35068/21498012.html
第十章 终归男身: https://www.xbiquge.bz/book/35068/21516909.html
第十一章 上热搜了！: https://www.xbiquge.bz/book/35068/21542328.html
第十二章 你们抢我身体干什么？: https://www.xbiquge.bz/book/35068/21542329.html
第十三章 满足你的要求！（求推荐、收藏）: https://www.xbiquge.bz/book/35068/21544327.html
第十四章 贫什么贫，我这正绑票呢！: https://www.xbiquge.bz/book/35068/21551859.html
第十五章 作死的马东: https://www.xbiquge.bz/book/35068/21583462.html
第十六章 你到底是谁？: https://www.xbiquge.bz/book/35068/21602987.html
第十七章 道具组专用: https://www.xbiquge.bz/book/35068/21628689.html
第十八章 卷莲门: https://www.xbiquge.bz/book/35068/21633930.html
第十九章 莲花宝典: https://www.xbiquge.bz/book/35068/21651850.html
第二十章 ‘肯...定输’！: https://www.xbiquge.bz/book/35068/21680340.html
第二十一章 怕等不到那时候了: https://www.xbiquge.bz/book/35068/21720688.html
第二十二章 系统？回归！: https://www.xbiquge.bz/book/35068/21724065.html
第二十三章 二叔的电话: https://www.xbiquge.bz/book/35068/21753309.html
第二十四章 再次穿越: https://www.xbiquge.bz/book/35068/21777041.html
第二十五章 我就想问问，你们的母亲还在吗？: https://www.xbiquge.bz/book/35068/21794455.html
第二十六章 暴揍兽人战士: https://www.xbiquge.bz/book/35068/21798181.html
第二十七章 果然是游戏世界: https://www.xbiquge.bz/book/35068/21834087.html
第二十八章 随身行囊: https://www.xbiquge.bz/book/35068/21844419.html
第二十九章 退出游戏: https://www.xbiquge.bz/book/35068/21891700.html
第三十章 行囊带来的惊喜: https://www.xbiquge.bz/book/35068/21906941.html
第三十一章 升级: https://www.xbiquge.bz/book/35068/21933275.html
第三十二章 这个动作的意思是......: https://www.xbiquge.bz/book/35068/21940387.html
第三十三章 被埋伏了: https://www.xbiquge.bz/book/35068/21960065.html
第三十四章 剧组闲聊: https://www.xbiquge.bz/book/35068/21960078.html
第三十五章 二次试炼开启: https://www.xbiquge.bz/book/35068/21977289.html
第三十六章 我是黄飞鸿！: https://www.xbiquge.bz/book/35068/21977441.html
第三十七章 盛世美颜十三姨: https://www.xbiquge.bz/book/35068/21992343.html
第三十八章 终于和系统联系上了: https://www.xbiquge.bz/book/35068/21992344.html
第三十九章 现攒的任务: https://www.xbiquge.bz/book/35068/22022617.html
第四十章 你们反哺的时候到了: https://www.xbiquge.bz/book/35068/22022618.html
第四十一章 身体记忆（求收藏、推荐）: https://www.xbiquge.bz/book/35068/22035608.html
第四十二章 让你来是吗？（求收藏、推荐）: https://www.xbiquge.bz/book/35068/22044111.html
