新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
第九百七十九章 联盟第一人！（全书完）: https://www.xbiquge.bz/book/51654/40671892.html
第九百七十八章 敌我李哥: https://www.xbiquge.bz/book/51654/40671891.html
第九百七十七章 中路大舞台，峰哥我先来！: https://www.xbiquge.bz/book/51654/40671890.html
第九百七十六章 Faker爆了！！！: https://www.xbiquge.bz/book/51654/40671889.html
第九百七十五章 这女人（手劲）真大！: https://www.xbiquge.bz/book/51654/40671888.html
第九百七十四章 飞哥，你这就没意思了啊...: https://www.xbiquge.bz/book/51654/40671887.html
第九百七十三章 《王朝》: https://www.xbiquge.bz/book/51654/40671886.html
第九百七十二章 女人的脑子怎么长的？: https://www.xbiquge.bz/book/51654/40671885.html
第九百七十一章 联盟偶像，唯有峰酱！: https://www.xbiquge.bz/book/51654/40671884.html
第一章 正能量系统！: https://www.xbiquge.bz/book/51654/33623226.html
第二章 文斗状元李秀峰！: https://www.xbiquge.bz/book/51654/33623227.html
第三章 蛛感！（求推荐）: https://www.xbiquge.bz/book/51654/33623228.html
第四章 我的青春回来了？: https://www.xbiquge.bz/book/51654/33623229.html
第五章 剑仙，夕阳，与少女: https://www.xbiquge.bz/book/51654/33623230.html
第六章 表妹的电脑配件？: https://www.xbiquge.bz/book/51654/33623231.html
第七章 大触之手，注入灵魂！（万分感谢“邵百岁”的萌主支持！）: https://www.xbiquge.bz/book/51654/33623232.html
第八章 开启主线任务！: https://www.xbiquge.bz/book/51654/33623233.html
第九章 峡谷之巅我为峰！: https://www.xbiquge.bz/book/51654/33623234.html
第十章 长宁路第一末日！（求推荐）: https://www.xbiquge.bz/book/51654/33623235.html
第十一章 食草型打野？（求推荐）: https://www.xbiquge.bz/book/51654/33623236.html
第十二章 野，中危，速来！: https://www.xbiquge.bz/book/51654/33623237.html
第十三章 天神下饭！（上）: https://www.xbiquge.bz/book/51654/33623238.html
第十四章 天神下饭！（下）: https://www.xbiquge.bz/book/51654/33623239.html
第十五章 有内味儿了！: https://www.xbiquge.bz/book/51654/33623240.html
第十六章 我和我的残疾水友: https://www.xbiquge.bz/book/51654/33623241.html
