完本感应: https://www.xbiquge.bz/book/46864/40109419.html
大结局: https://www.xbiquge.bz/book/46864/40109418.html
第5044章、新手村与NPC: https://www.xbiquge.bz/book/46864/40109417.html
第5043章、诸位、玩过虚拟游戏吗？: https://www.xbiquge.bz/book/46864/40109416.html
第5042章、物是人非: https://www.xbiquge.bz/book/46864/40109415.html
第5041章、篡位者罗辑（三）: https://www.xbiquge.bz/book/46864/40109414.html
第5040章、篡位者罗辑（二）: https://www.xbiquge.bz/book/46864/40109413.html
第5039章、篡位者罗辑: https://www.xbiquge.bz/book/46864/40109412.html
第5038章、降临: https://www.xbiquge.bz/book/46864/40109411.html
第5037章、卡巴拉生命之树: https://www.xbiquge.bz/book/46864/40109410.html
第5036章、载体: https://www.xbiquge.bz/book/46864/40109409.html
第5035章、灭世倒计时: https://www.xbiquge.bz/book/46864/40109408.html
第1章 文明崛起: https://www.xbiquge.bz/book/46864/29108257.html
第2章 开局配置: https://www.xbiquge.bz/book/46864/29108258.html
第3章 定居点: https://www.xbiquge.bz/book/46864/29108259.html
第4章 原来我是一张SSR: https://www.xbiquge.bz/book/46864/29108260.html
第5章 第一勇士: https://www.xbiquge.bz/book/46864/29108261.html
第6章 渐入佳境的罗辑: https://www.xbiquge.bz/book/46864/29108262.html
第7章 营地建立: https://www.xbiquge.bz/book/46864/29108263.html
第8章 发展部落: https://www.xbiquge.bz/book/46864/29108264.html
第9章 乐开花了: https://www.xbiquge.bz/book/46864/29108265.html
第10章 项目发展: https://www.xbiquge.bz/book/46864/29108266.html
第11章 干票大的: https://www.xbiquge.bz/book/46864/29108267.html
第12章 狼入羊群: https://www.xbiquge.bz/book/46864/29108268.html
第13章 与狼共舞: https://www.xbiquge.bz/book/46864/29108269.html
第14章 宣示胜利: https://www.xbiquge.bz/book/46864/29108270.html
第15章 意外的新技能: https://www.xbiquge.bz/book/46864/29108271.html
第16章 刷忠诚度: https://www.xbiquge.bz/book/46864/29108272.html
第17章 步入正轨: https://www.xbiquge.bz/book/46864/29108273.html
第18章 欲哭无泪的罗辑: https://www.xbiquge.bz/book/46864/29108274.html
第19章 这面板，对手都要报警了: https://www.xbiquge.bz/book/46864/29108275.html
第20章 训练项目: https://www.xbiquge.bz/book/46864/29108276.html
第21章 罗辑，一脸满足: https://www.xbiquge.bz/book/46864/29108277.html
第22章 狼骨面具: https://www.xbiquge.bz/book/46864/29108278.html
第23章 狼战士: https://www.xbiquge.bz/book/46864/29108279.html
第24章 赤狐部落: https://www.xbiquge.bz/book/46864/29108280.html
第25章 忠诚度的起伏（上）: https://www.xbiquge.bz/book/46864/29108281.html
第26章 忠诚度的起伏（下）: https://www.xbiquge.bz/book/46864/29108282.html
第27章 老实人赵磐: https://www.xbiquge.bz/book/46864/29108283.html
第28章 傻大个？: https://www.xbiquge.bz/book/46864/29108284.html
第29章 军械部门: https://www.xbiquge.bz/book/46864/29108285.html
第30章 正式训练: https://www.xbiquge.bz/book/46864/29108286.html
第31章 你说崩溃不崩溃？: https://www.xbiquge.bz/book/46864/29108287.html
第32章 发展规划: https://www.xbiquge.bz/book/46864/29108288.html
第33章 急，在线等！！！: https://www.xbiquge.bz/book/46864/29108289.html
第34章 潜伏侦查: https://www.xbiquge.bz/book/46864/29108290.html
第35章 撤退行动: https://www.xbiquge.bz/book/46864/29108291.html
第36章 当一回禽兽: https://www.xbiquge.bz/book/46864/29108292.html
第37章 棋逢对手: https://www.xbiquge.bz/book/46864/29108293.html
第38章 临时营地: https://www.xbiquge.bz/book/46864/29108294.html
第39章 再次袭击: https://www.xbiquge.bz/book/46864/29108295.html
第40章 罗辑的目的: https://www.xbiquge.bz/book/46864/29108296.html
第41章 脏套路: https://www.xbiquge.bz/book/46864/29108297.html
第42章 摊牌: https://www.xbiquge.bz/book/46864/29108298.html
第43章 新的发现: https://www.xbiquge.bz/book/46864/29108299.html
第44章 人选确定: https://www.xbiquge.bz/book/46864/29108300.html
第45章 新部落和新发展: https://www.xbiquge.bz/book/46864/29108301.html
第46章 新武器: https://www.xbiquge.bz/book/46864/29108302.html
第47章 寒冬: https://www.xbiquge.bz/book/46864/29108303.html
第48章 变数和意外: https://www.xbiquge.bz/book/46864/29108304.html
第49章 赵磐的决断: https://www.xbiquge.bz/book/46864/29108305.html
第50章 意外连连: https://www.xbiquge.bz/book/46864/29108306.html
第51章 赵磐的做法: https://www.xbiquge.bz/book/46864/29108307.html
第52章 葬礼与调整: https://www.xbiquge.bz/book/46864/29108308.html
第53章 重见天日: https://www.xbiquge.bz/book/46864/29108309.html
第54章 计划确定: https://www.xbiquge.bz/book/46864/29108310.html
第55章 射程的优势（周推荐加更）: https://www.xbiquge.bz/book/46864/29108311.html
第56章 傻眼了: https://www.xbiquge.bz/book/46864/29108312.html
第57章 人才啊: https://www.xbiquge.bz/book/46864/29108313.html
第58章 暴露风险（周推荐加更）: https://www.xbiquge.bz/book/46864/29108314.html
第59章 这可是个好东西: https://www.xbiquge.bz/book/46864/29108315.html
第60章 判断和优势: https://www.xbiquge.bz/book/46864/29108316.html
第61章 人员调动: https://www.xbiquge.bz/book/46864/29108317.html
第62章 我感觉自己还能再抢救一下: https://www.xbiquge.bz/book/46864/29108318.html
第63章 拯救濒临崩盘的现实: https://www.xbiquge.bz/book/46864/29108319.html
第64章 见面: https://www.xbiquge.bz/book/46864/29108320.html
第65章 互惠互利: https://www.xbiquge.bz/book/46864/29108321.html
第66章 入侵和玩家战斗: https://www.xbiquge.bz/book/46864/29108322.html
第67章 长生不死？: https://www.xbiquge.bz/book/46864/29108323.html
第68章 我热爱学习，学习使我快乐.JPG: https://www.xbiquge.bz/book/46864/29108324.html
第69章 上架感言: https://www.xbiquge.bz/book/46864/29108325.html
第70章 谁分心，谁就死: https://www.xbiquge.bz/book/46864/29108326.html
第71章 看得透彻: https://www.xbiquge.bz/book/46864/29108327.html
第72章 黑豺: https://www.xbiquge.bz/book/46864/29108328.html
第73章 罗辑的远见: https://www.xbiquge.bz/book/46864/29108329.html
第74章 逆风局的人才: https://www.xbiquge.bz/book/46864/29108330.html
第75章 突然好慌: https://www.xbiquge.bz/book/46864/29108331.html
第76章 双双出手: https://www.xbiquge.bz/book/46864/29108332.html
第77章 军械部的新人: https://www.xbiquge.bz/book/46864/29108333.html
第78章 不稳定因素: https://www.xbiquge.bz/book/46864/29108334.html
第79章 好戏开场: https://www.xbiquge.bz/book/46864/29108335.html
第80章 驱狼吞虎: https://www.xbiquge.bz/book/46864/29108336.html
第81章 远古流氓: https://www.xbiquge.bz/book/46864/29108337.html
第82章 远古流氓真的很流氓: https://www.xbiquge.bz/book/46864/29108338.html
第83章 研究狂人小狐狸: https://www.xbiquge.bz/book/46864/29108339.html
第84章 霉运期: https://www.xbiquge.bz/book/46864/29108340.html
第85章 弓箭的研发: https://www.xbiquge.bz/book/46864/29108341.html
第86章 弓术: https://www.xbiquge.bz/book/46864/29108342.html
第87章 我这技能树是不是点歪了？: https://www.xbiquge.bz/book/46864/29108343.html
第88章 布置回家作业的快感: https://www.xbiquge.bz/book/46864/29108344.html
第89章 后续准备: https://www.xbiquge.bz/book/46864/29108345.html
第90章 蛮熊部落: https://www.xbiquge.bz/book/46864/29108346.html
第91章 这是恐怖袭击！: https://www.xbiquge.bz/book/46864/29108347.html
第92章 入侵者: https://www.xbiquge.bz/book/46864/29108348.html
第93章 沧桑的王超和懵逼的罗辑: https://www.xbiquge.bz/book/46864/29108349.html
第94章 天人交战: https://www.xbiquge.bz/book/46864/29108350.html
第95章 这运气到底算好算坏？: https://www.xbiquge.bz/book/46864/29108351.html
第96章 道具处理: https://www.xbiquge.bz/book/46864/29108352.html
第97章 拍卖场: https://www.xbiquge.bz/book/46864/29108353.html
第98章 胜利的缘由: https://www.xbiquge.bz/book/46864/29108354.html
第99章 追踪线索: https://www.xbiquge.bz/book/46864/29108355.html
第100章 竞拍: https://www.xbiquge.bz/book/46864/29108356.html
第101章 转换季节的发展: https://www.xbiquge.bz/book/46864/29108357.html
第102章 早做准备: https://www.xbiquge.bz/book/46864/29108358.html
第103章 新装备和新兵种！: https://www.xbiquge.bz/book/46864/29108359.html
第104章 示威: https://www.xbiquge.bz/book/46864/29108360.html
第105章 你说好笑不好笑？: https://www.xbiquge.bz/book/46864/29108361.html
第106章 积极备战: https://www.xbiquge.bz/book/46864/29108362.html
第107章 尴尬的技能书: https://www.xbiquge.bz/book/46864/29108363.html
第108章 作出布置: https://www.xbiquge.bz/book/46864/29108364.html
第109章 打起来了？: https://www.xbiquge.bz/book/46864/29108365.html
第110章 入侵者降临: https://www.xbiquge.bz/book/46864/29108366.html
第111章 蛰伏与出手: https://www.xbiquge.bz/book/46864/29108367.html
第112章 这道理没法讲了: https://www.xbiquge.bz/book/46864/29108368.html
第113章 三方动静: https://www.xbiquge.bz/book/46864/29108369.html
第114章 皮这一下我很开心: https://www.xbiquge.bz/book/46864/29108370.html
第115章 谁套路谁？: https://www.xbiquge.bz/book/46864/29108371.html
第116章 臣服: https://www.xbiquge.bz/book/46864/29108372.html
第117章 计划赶不上变化: https://www.xbiquge.bz/book/46864/29108373.html
第118章 夜袭与变数: https://www.xbiquge.bz/book/46864/29108374.html
第119章 得意忘形: https://www.xbiquge.bz/book/46864/29108375.html
第120章 高速发展: https://www.xbiquge.bz/book/46864/29108376.html
第121章 可惜是个……: https://www.xbiquge.bz/book/46864/29108377.html
第122章 郭嘉和新兵: https://www.xbiquge.bz/book/46864/29108378.html
第123章 这牛逼吹过头了吧？: https://www.xbiquge.bz/book/46864/29108379.html
第124章 我绝对不是什么可疑人物: https://www.xbiquge.bz/book/46864/29108380.html
第125章 措手不及: https://www.xbiquge.bz/book/46864/29108381.html
第126章 最后的手段: https://www.xbiquge.bz/book/46864/29108382.html
第127章 世界碎片: https://www.xbiquge.bz/book/46864/29108383.html
第128章 扯皮: https://www.xbiquge.bz/book/46864/29108384.html
第129章 攻城车: https://www.xbiquge.bz/book/46864/29108385.html
第130章 计上心头: https://www.xbiquge.bz/book/46864/29108386.html
第131章 逼杀: https://www.xbiquge.bz/book/46864/29108387.html
第132章 罗勇的弱势: https://www.xbiquge.bz/book/46864/29108388.html
第133章 战后安排: https://www.xbiquge.bz/book/46864/29108389.html
第134章 追踪和支援: https://www.xbiquge.bz/book/46864/29108390.html
第135章 伏击: https://www.xbiquge.bz/book/46864/29108391.html
第136章 赎命: https://www.xbiquge.bz/book/46864/29108392.html
第137章 奸商: https://www.xbiquge.bz/book/46864/29108393.html
第138章 他真的好烦啊: https://www.xbiquge.bz/book/46864/29108394.html
第139章 规划格局: https://www.xbiquge.bz/book/46864/29108395.html
第140章 一连五刀，直接捅到死: https://www.xbiquge.bz/book/46864/29108396.html
第141章 天气影响: https://www.xbiquge.bz/book/46864/29108397.html
第142章 第三分城: https://www.xbiquge.bz/book/46864/29108398.html
第143章 锻造部开炉: https://www.xbiquge.bz/book/46864/29108399.html
第144章 高速发展: https://www.xbiquge.bz/book/46864/29108400.html
第145章 变化: https://www.xbiquge.bz/book/46864/29108401.html
第146章 这组合简直太罪恶了: https://www.xbiquge.bz/book/46864/29108402.html
第147章 入侵来袭: https://www.xbiquge.bz/book/46864/29108403.html
