关于脉轮和符文之语的设定: https://www.xbiquge.bz/book/55020/39057770.html
雷鸣领和克里夫公国: https://www.xbiquge.bz/book/55020/39057769.html
暴风王国示意: https://www.xbiquge.bz/book/55020/39057768.html
恩法斯大陆示意: https://www.xbiquge.bz/book/55020/39057767.html
完本感言: https://www.xbiquge.bz/book/55020/39057766.html
第一百三十八章 幸福时光（大结局）: https://www.xbiquge.bz/book/55020/39057765.html
第一百三十七章 终焉法则——逐神: https://www.xbiquge.bz/book/55020/39057764.html
第一百三十六章 永恒星门: https://www.xbiquge.bz/book/55020/39057763.html
第一百三十五章 末日永恒: https://www.xbiquge.bz/book/55020/39057762.html
第一百九十四章 必须搞掉它！: https://www.xbiquge.bz/book/55020/39057761.html
第一百九十三章 空母A380: https://www.xbiquge.bz/book/55020/39057760.html
第一百二十六章 焚化的炼狱火魔（加更）: https://www.xbiquge.bz/book/55020/39057759.html
第一章 夏日里的袭击: https://www.xbiquge.bz/book/55020/39056174.html
第二章 莎瑞的守护者: https://www.xbiquge.bz/book/55020/39056175.html
第三章 北克莱恩的召唤: https://www.xbiquge.bz/book/55020/39056176.html
第四章 红箭佣兵团: https://www.xbiquge.bz/book/55020/39056177.html
第五章 安吉拉: https://www.xbiquge.bz/book/55020/39056178.html
第六章 密林深处的敌人: https://www.xbiquge.bz/book/55020/39056179.html
第七章 偷袭: https://www.xbiquge.bz/book/55020/39056180.html
第八章 临危受命: https://www.xbiquge.bz/book/55020/39056181.html
第九章 隆山的挽歌: https://www.xbiquge.bz/book/55020/39056182.html
第十章 灰骑士: https://www.xbiquge.bz/book/55020/39056183.html
第十一章 罗尔丹的剑: https://www.xbiquge.bz/book/55020/39056184.html
第十二章 白银战驹: https://www.xbiquge.bz/book/55020/39056185.html
第十三章 雷鸣港的人心: https://www.xbiquge.bz/book/55020/39056186.html
第十四章 梦境与真实: https://www.xbiquge.bz/book/55020/39056187.html
第十五章 私兵和经济问题: https://www.xbiquge.bz/book/55020/39056188.html
第十六章 追随者契约: https://www.xbiquge.bz/book/55020/39056189.html
第十七章 克里斯多家族: https://www.xbiquge.bz/book/55020/39056190.html
第十八章 熊头: https://www.xbiquge.bz/book/55020/39056191.html
第十九章 熊的力量: https://www.xbiquge.bz/book/55020/39056192.html
第二十章 私兵和装备: https://www.xbiquge.bz/book/55020/39056193.html
第二十一章 召唤法阵: https://www.xbiquge.bz/book/55020/39056194.html
第二十二章 卢比: https://www.xbiquge.bz/book/55020/39056195.html
第二十三章 情报: https://www.xbiquge.bz/book/55020/39056196.html
第二十四章 巢穴之心: https://www.xbiquge.bz/book/55020/39056197.html
第二十五章 幽影豹之穴: https://www.xbiquge.bz/book/55020/39056198.html
第二十六章 霜刃豹暗爪: https://www.xbiquge.bz/book/55020/39056199.html
第二十七章 水晶之心: https://www.xbiquge.bz/book/55020/39056200.html
第二十八章 豹王断牙: https://www.xbiquge.bz/book/55020/39056201.html
第二十九章 佣兵与任务: https://www.xbiquge.bz/book/55020/39056202.html
第三十章 局势: https://www.xbiquge.bz/book/55020/39056203.html
第三十一章 二小姐的魔法天赋: https://www.xbiquge.bz/book/55020/39056204.html
第三十二章 傀儡工厂(上): https://www.xbiquge.bz/book/55020/39056205.html
第三十三章 傀儡工厂(下): https://www.xbiquge.bz/book/55020/39056206.html
第三十四章 钢魔像: https://www.xbiquge.bz/book/55020/39056207.html
第三十五章 白银法师: https://www.xbiquge.bz/book/55020/39056208.html
第三十六章 遗迹讯息: https://www.xbiquge.bz/book/55020/39056209.html
第三十七章 危局: https://www.xbiquge.bz/book/55020/39056210.html
第三十八章 逃离: https://www.xbiquge.bz/book/55020/39056211.html
第三十九章 城墙: https://www.xbiquge.bz/book/55020/39056212.html
第四十章 掌控全局: https://www.xbiquge.bz/book/55020/39056213.html
第四十一章 月夜的激战上: https://www.xbiquge.bz/book/55020/39056214.html
第四十二章 月夜激战中: https://www.xbiquge.bz/book/55020/39056215.html
第四十三章 月夜激战下: https://www.xbiquge.bz/book/55020/39056216.html
