番外——第一强国（一）: https://www.xbiquge.bz/book/52331/40730171.html
番外——小青（二）: https://www.xbiquge.bz/book/52331/40714108.html
番外——小青（一）: https://www.xbiquge.bz/book/52331/40713816.html
番外——李青竹（四）: https://www.xbiquge.bz/book/52331/40711694.html
番外——李青竹（三）: https://www.xbiquge.bz/book/52331/40711358.html
番外——李青竹（二）: https://www.xbiquge.bz/book/52331/40711087.html
番外——李青竹（一）: https://www.xbiquge.bz/book/52331/40708840.html
番外——绝情谷（九）: https://www.xbiquge.bz/book/52331/40622597.html
番外——绝情谷（八）: https://www.xbiquge.bz/book/52331/40622596.html
番外——绝情谷（七）: https://www.xbiquge.bz/book/52331/40622595.html
番外——绝情谷（六）: https://www.xbiquge.bz/book/52331/40622594.html
番外——绝情谷（五）: https://www.xbiquge.bz/book/52331/40622593.html
第一章 碰瓷遇上女司机: https://www.xbiquge.bz/book/52331/34998904.html
第二章 天价药费: https://www.xbiquge.bz/book/52331/34998905.html
第三章 你不配做医生: https://www.xbiquge.bz/book/52331/34998906.html
第四章 冒名顶替: https://www.xbiquge.bz/book/52331/34998907.html
第五章 真相大白: https://www.xbiquge.bz/book/52331/34998908.html
第六章 凭什么可怜你？: https://www.xbiquge.bz/book/52331/34998909.html
第七章 假扮男友: https://www.xbiquge.bz/book/52331/34998910.html
第八章 百草堂: https://www.xbiquge.bz/book/52331/34998911.html
第九章 百万悬赏: https://www.xbiquge.bz/book/52331/34998912.html
第十章 华佗金方: https://www.xbiquge.bz/book/52331/34998914.html
第十一章 回魂九针: https://www.xbiquge.bz/book/52331/34998916.html
第十二章 准备后事吧: https://www.xbiquge.bz/book/52331/34998917.html
第十三章 一眼看破: https://www.xbiquge.bz/book/52331/34998918.html
第十四章 代师收徒: https://www.xbiquge.bz/book/52331/34998919.html
第十五章 叔爷: https://www.xbiquge.bz/book/52331/34998920.html
第十六章 铁头功: https://www.xbiquge.bz/book/52331/34998921.html
第十七章 打成释迦摩尼: https://www.xbiquge.bz/book/52331/34998922.html
第十八章 贺家的诊金: https://www.xbiquge.bz/book/52331/34998923.html
第十九章 拜金前女友: https://www.xbiquge.bz/book/52331/34998924.html
第二十章 我看谁敢动: https://www.xbiquge.bz/book/52331/34998925.html
第二十一章 他是你的老板: https://www.xbiquge.bz/book/52331/34998926.html
第二十二章 证明给你看: https://www.xbiquge.bz/book/52331/34998927.html
第二十三章 麻烦上门: https://www.xbiquge.bz/book/52331/34998929.html
第二十四章 忍你很久了: https://www.xbiquge.bz/book/52331/34998930.html
第二十五章 爱造假的马大少: https://www.xbiquge.bz/book/52331/34998931.html
第二十六章 收保护费: https://www.xbiquge.bz/book/52331/34998933.html
第二十七章 吃包子: https://www.xbiquge.bz/book/52331/34998934.html
第二十八章 兴师问罪: https://www.xbiquge.bz/book/52331/34998935.html
第二十九章 我让你没脑子: https://www.xbiquge.bz/book/52331/34998936.html
第三十章 女暴龙: https://www.xbiquge.bz/book/52331/34998937.html
第三十一章 师兄驾到: https://www.xbiquge.bz/book/52331/34998938.html
第三十二章 名誉院长: https://www.xbiquge.bz/book/52331/34998939.html
第三十三章 考察组组长: https://www.xbiquge.bz/book/52331/34998940.html
第三十四章 一问三不知: https://www.xbiquge.bz/book/52331/34998941.html
第三十五章 世外桃源: https://www.xbiquge.bz/book/52331/34998942.html
第三十六章 开天眼: https://www.xbiquge.bz/book/52331/34998943.html
第三十七章 血色骷髅: https://www.xbiquge.bz/book/52331/34998945.html
第三十八章 恩将仇报: https://www.xbiquge.bz/book/52331/34998946.html
第三十九章 偷梁换柱的店老板: https://www.xbiquge.bz/book/52331/34998947.html
第四十章 内有乾坤: https://www.xbiquge.bz/book/52331/34998948.html
第四十一章 颜真卿的真迹: https://www.xbiquge.bz/book/52331/34998949.html
第四十二章 汉代陶俑: https://www.xbiquge.bz/book/52331/34998950.html
第四十三章 意外之喜: https://www.xbiquge.bz/book/52331/34998951.html
第四十四章 术法大师: https://www.xbiquge.bz/book/52331/34998952.html
第四十五章 走火入魔: https://www.xbiquge.bz/book/52331/34998953.html
第四十六章 运功冲关: https://www.xbiquge.bz/book/52331/34998954.html
第四十七章 武者等级: https://www.xbiquge.bz/book/52331/34998955.html
第四十八章 韩帅的生日礼物: https://www.xbiquge.bz/book/52331/34998956.html
第四十九章 夜未央ktv: https://www.xbiquge.bz/book/52331/34998957.html
第五十章 有钱买不来智商: https://www.xbiquge.bz/book/52331/34998958.html
第五十一章 尴尬的表白: https://www.xbiquge.bz/book/52331/34998959.html
第五十二章 多灾多难: https://www.xbiquge.bz/book/52331/34998960.html
第五十三章 教你什么叫弹琴: https://www.xbiquge.bz/book/52331/34998961.html
第五十四章 钢琴小王子: https://www.xbiquge.bz/book/52331/34998962.html
第五十五章 生日蛋糕: https://www.xbiquge.bz/book/52331/34998963.html
第五十六章 麻九爷: https://www.xbiquge.bz/book/52331/34998964.html
第五十七章 没人可以动我兄弟: https://www.xbiquge.bz/book/52331/34998965.html
第五十八章 跪久了站不起来: https://www.xbiquge.bz/book/52331/34998966.html
第五十九章 麻九爷的后台: https://www.xbiquge.bz/book/52331/34998967.html
第六十章 大佬唐风: https://www.xbiquge.bz/book/52331/34998968.html
第六十一章 好好表现的麻九爷: https://www.xbiquge.bz/book/52331/34998969.html
第六十二章 以之彼道还之彼身: https://www.xbiquge.bz/book/52331/34998970.html
第六十三章 玄极大师: https://www.xbiquge.bz/book/52331/34998971.html
第六十四章 炼妖瓶: https://www.xbiquge.bz/book/52331/34998972.html
第六十五章 天堂会所: https://www.xbiquge.bz/book/52331/34998973.html
第六十六章 我相信运气: https://www.xbiquge.bz/book/52331/34998974.html
